elapsed time [min],battery [Wh],task [times],P short,P charg,B short,B charg,C short,C charg,short total cons [wh],charg total cons [wh]
0,99.85,0,11.5,6.2,98.9,99.1,9,16,1,1.8
0.4,99.25,1,11.0,6.1,98.3,99.1,9,16,1,1.85
0.8,98.65,2,11.1,6.1,97.7,99.1,9,16,1,1.85
1.1,98.05,3,11.0,6.1,97.0,99.1,9,16,1,1.85
1.5,97.4,4,11.0,6.1,96.4,99.1,9,16,1,1.85
1.8,96.8,5,10.9,6.1,95.8,99.1,9,16,1,1.85
2.2,96.15,6,10.8,6.1,95.2,99.1,9,16,1,1.85
2.6,95.55,7,10.6,6.1,94.5,99.1,9,16,1,1.85
2.9,94.94,8,10.6,6.1,93.9,99.1,9,16,1,1.85
3.3,94.29,9,10.6,6.1,93.3,99.1,9,16,1,1.85
3.6,93.69,10,10.4,6.1,92.6,99.1,9,16,1,1.85
4,93.04,11,10.3,6.1,92.0,99.1,9,16,1,1.85
4.4,92.44,12,10.4,6.1,91.4,99.1,9,16,1,1.85
4.7,91.79,13,10.3,6.1,90.8,99.1,9,16,1,1.85
5.1,91.19,14,10.3,6.1,90.2,99.1,9,16,1,1.85
5.4,90.54,15,10.2,6.1,89.5,99.1,9,16,1,1.85
5.8,89.94,16,10.1,6.1,88.9,99.1,9,16,1,1.85
6.2,89.34,17,9.9,6.1,88.3,99.1,9,16,1,1.85
6.5,88.69,18,10.0,6.1,87.7,99.1,9,16,1,1.85
6.9,88.09,19,9.9,6.1,87.1,99.1,9,16,1,1.85
7.2,87.44,20,9.8,6.1,86.4,99.1,9,16,1,1.85
7.6,86.84,21,9.8,6.1,85.8,99.1,9,16,1,1.85
8,86.19,22,9.8,6.2,85.2,99.1,9,16,1,1.85
8.3,85.59,23,9.6,6.1,84.6,99.1,9,16,1,1.85
8.7,84.98,24,9.4,6.1,83.9,99.1,9,16,1,1.85
9.4,83.68,26,9.4,6.1,82.7,99.1,9,16,1,1.85
9.8,83.08,27,9.3,6.1,82.1,99.1,9,16,1,1.85
10.1,82.43,28,9.3,6.1,81.4,99.1,9,16,1,1.85
10.5,81.83,29,9.1,6.1,80.8,99.1,9,16,1,1.85
10.9,81.18,30,9.1,6.1,80.2,99.1,9,16,1,1.85
11.2,80.58,31,9.0,6.1,79.6,99.1,9,16,1,1.85
11.6,79.98,32,9.0,6.1,78.9,99.1,9,16,1,1.85
11.9,79.33,33,8.8,6.1,78.3,99.1,9,16,1,1.85
12.3,78.68,34,8.8,6.1,77.7,99.1,9,16,1,1.85
12.7,78.08,35,8.8,6.1,77.1,99.1,9,16,1,1.85
13,77.43,36,8.7,6.1,76.4,99.1,9,16,1,1.85
13.4,76.83,37,8.5,6.1,75.8,99.1,9,16,1,1.85
13.8,76.18,38,8.6,6.1,75.2,99.1,9,16,1,1.85
14.1,75.58,39,8.5,6.1,74.6,99.1,9,16,1,1.85
14.9,74.32,41,8.3,6.1,73.3,99.1,9,16,1,1.85
15.2,73.72,42,8.3,6.1,72.7,99.1,9,16,1,1.85
15.6,73.07,43,8.2,6.1,72.1,99.1,9,16,1,1.85
15.9,72.47,44,8.1,6.1,71.5,99.1,9,16,1,1.85
16.3,71.82,45,8.1,6.1,70.8,99.1,9,16,1,1.85
16.7,71.22,46,7.9,6.1,70.2,99.1,9,16,1,1.85
17,70.57,47,7.8,6.1,69.6,99.1,9,16,1,1.85
17.4,69.97,48,7.8,6.1,69.0,99.1,9,16,1,1.85
17.7,69.37,49,7.7,6.1,68.3,99.1,9,16,1,1.85
18.1,68.72,50,7.7,6.1,67.7,99.1,9,16,1,1.85
18.5,68.12,51,7.6,6.1,67.1,99.1,9,16,1,1.85
18.8,67.47,52,7.6,6.1,66.5,99.1,9,16,1,1.85
19.2,66.87,53,7.5,6.1,65.9,99.1,9,16,1,1.85
19.5,66.27,54,7.4,6.1,65.2,99.1,9,16,1,1.85
19.9,65.62,55,7.3,6.1,64.6,99.1,9,16,1,1.85
20.3,65.02,56,7.2,6.1,64.0,99.1,9,16,1,1.85
20.6,64.36,57,7.1,6.1,63.4,99.1,9,16,1,1.85
21,63.76,58,7.1,6.1,62.8,99.1,9,16,1,1.85
21.3,63.11,59,7.1,6.1,62.1,99.1,9,16,1,1.85
21.7,62.51,60,6.9,6.1,61.5,99.1,9,16,1,1.85
22.1,61.86,61,6.8,6.1,60.9,99.1,9,16,1,1.85
22.4,61.26,62,6.9,6.2,60.3,99.1,9,16,1,1.85
22.8,60.61,63,6.9,6.3,59.6,99.1,9,16,0.95,1.8
23.2,59.96,64,6.9,6.3,59.0,99.1,9,16,1,1.8
23.5,59.36,65,6.6,6.1,58.4,99.1,9,16,1,1.85
23.9,58.71,66,6.5,6.1,57.7,99.1,9,16,1,1.85
24.3,58.11,67,6.5,6.1,57.1,99.1,9,16,1,1.85
24.6,57.46,68,6.3,6.1,56.5,99.1,9,16,1,1.85
25,56.86,69,6.3,6.1,55.9,99.1,9,16,1,1.85
25.3,56.26,70,6.3,6.1,55.3,99.1,9,16,1,1.85
25.7,55.61,71,6.2,6.1,54.6,99.1,9,16,1,1.85
26.1,55.01,72,6.1,6.1,54.0,99.1,9,16,1,1.85
26.4,54.35,73,6.0,6.1,53.4,99.1,9,16,1,1.85
26.8,53.7,74,6.1,6.3,52.7,99.1,9,16,1,1.8
27.2,53.05,75,5.9,6.1,52.1,99.1,9,16,1,1.85
27.5,52.45,76,5.9,6.1,51.5,99.1,9,16,1,1.85
42.5,99.45,77,11.1,6.1,98.5,99.1,9,16,1,1.85
42.8,98.85,78,11.1,6.1,97.9,99.1,9,16,1,1.85
43.2,98.25,79,11.1,6.1,97.2,99.1,9,16,1,1.85
43.5,97.6,80,11.0,6.1,96.6,99.1,9,16,1,1.85
43.9,97,81,10.9,6.1,96.0,99.1,9,16,1,1.85
44.3,96.35,82,11.0,6.2,95.4,99.1,9,16,1,1.85
44.6,95.75,83,10.7,6.1,94.7,99.1,9,16,1,1.85
45,95.1,84,10.7,6.1,94.1,99.1,9,16,1,1.85
45.3,94.49,85,10.6,6.1,93.5,99.1,9,16,1,1.85
45.7,93.84,86,10.6,6.1,92.9,99.1,9,16,1,1.85
46.1,93.24,87,10.5,6.1,92.2,99.1,9,16,1,1.85
46.4,92.64,88,10.4,6.1,91.6,99.1,9,16,1,1.85
46.8,91.99,89,10.2,6.1,91.0,99.1,9,16,1,1.85
47.1,91.39,90,10.3,6.1,90.4,99.1,9,16,1,1.85
47.5,90.74,91,10.2,6.1,89.7,99.1,9,16,1,1.85
47.9,90.14,92,10.3,6.2,89.1,99.1,9,16,1,1.85
48.2,89.54,93,10.1,6.1,88.5,99.1,9,16,1,1.85
48.6,88.89,94,10.0,6.2,87.9,99.1,9,16,1,1.85
48.9,88.29,95,9.8,6.1,87.3,99.1,9,16,1,1.85
49.3,87.69,96,9.7,6.1,86.6,99.1,9,16,1,1.85
49.7,87.04,97,9.7,6.1,86.0,99.1,9,16,1,1.85
50,86.44,98,9.7,6.1,85.4,99.1,9,16,1,1.85
50.4,85.79,99,9.5,6.1,84.8,99.1,9,16,1,1.85
50.7,85.19,100,9.6,6.1,84.2,99.1,9,16,1,1.85
51.1,84.53,101,9.5,6.1,83.5,99.1,9,16,1,1.85
51.5,83.93,102,9.5,6.2,82.9,99.1,9,16,1,1.85
51.8,83.28,103,9.4,6.1,82.3,99.1,9,16,1,1.85
52.2,82.68,104,9.3,6.1,81.7,99.1,9,16,1,1.85
52.5,82.08,105,9.1,6.1,81.0,99.1,9,16,1,1.85
52.9,81.43,106,9.0,6.1,80.4,99.1,9,16,1,1.85
53.3,80.83,107,9.1,6.1,79.8,99.1,9,16,1,1.85
53.6,80.18,108,9.0,6.1,79.2,99.1,9,16,1,1.85
54,79.58,109,8.9,6.1,78.6,99.1,9,16,1,1.85
54.4,78.93,110,8.9,6.1,77.9,99.1,9,16,1,1.85
54.7,78.33,111,8.8,6.1,77.3,99.1,9,16,1,1.85
55.1,77.73,112,8.7,6.1,76.7,99.1,9,16,1,1.85
55.4,77.08,113,8.7,6.1,76.1,99.1,9,16,1,1.85
55.8,76.48,114,8.6,6.1,75.5,99.1,9,16,1,1.85
56.1,75.83,115,8.5,6.1,74.8,99.1,9,16,1,1.85
56.5,75.23,116,8.4,6.1,74.2,99.1,9,16,1,1.85
56.9,74.62,117,8.3,6.1,73.6,99.1,9,16,1,1.85
57.2,73.97,118,8.3,6.1,73.0,99.1,9,16,1,1.85
57.6,73.37,119,8.1,6.1,72.3,99.1,9,16,1,1.85
58,72.72,120,8.1,6.1,71.7,99.1,9,16,1,1.85
58.7,71.47,122,8.0,6.1,70.5,99.1,9,16,1,1.85
59,70.87,123,7.9,6.1,69.9,99.1,9,16,1,1.85
59.4,70.22,124,7.9,6.1,69.2,99.1,9,16,1,1.85
59.8,69.62,125,7.7,6.1,68.6,99.1,9,16,1,1.85
60.1,69.02,126,7.7,6.1,68.0,99.1,9,16,1,1.85
60.5,68.37,127,7.7,6.1,67.4,99.1,9,16,1,1.85
60.8,67.77,128,7.6,6.1,66.8,99.1,9,16,1,1.85
61.2,67.17,129,7.4,6.1,66.1,99.1,9,16,1,1.85
61.6,66.52,130,7.4,6.1,65.5,99.1,9,16,1,1.85
61.9,65.92,131,7.4,6.1,64.9,99.1,9,16,1,1.85
62.3,65.27,132,7.3,6.1,64.3,99.1,9,16,1,1.85
62.6,64.66,133,7.2,6.0,63.6,99.1,9,16,1,1.85
63,64.01,134,7.2,6.2,63.0,99.1,9,16,1,1.85
63.4,63.41,135,7.0,6.1,62.4,99.1,9,16,1,1.85
63.7,62.76,136,7.0,6.1,61.8,99.1,9,16,1,1.85
64.1,62.16,137,7.0,6.1,61.2,99.1,9,16,1,1.85
64.4,61.51,138,6.9,6.1,60.5,99.1,9,16,1,1.85
64.8,60.91,139,6.7,6.1,59.9,99.1,9,16,1,1.85
65.2,60.26,140,6.7,6.1,59.3,99.1,9,16,1,1.85
65.5,59.66,141,6.7,6.1,58.7,99.1,9,16,1,1.85
65.9,59.01,142,6.6,6.1,58.0,99.1,9,16,1,1.85
66.3,58.41,143,6.5,6.1,57.4,99.1,9,16,1,1.85
66.6,57.76,144,6.5,6.1,56.8,99.1,9,16,1,1.85
67,57.16,145,6.3,6.1,56.2,99.1,9,16,1,1.85
67.3,56.56,146,6.3,6.1,55.6,99.1,9,16,1,1.85
67.7,55.91,147,6.2,6.1,54.9,99.1,9,16,1,1.85
68.1,55.31,148,6.2,6.1,54.3,99.1,9,16,1,1.85
68.4,54.7,149,6.0,6.1,53.7,99.1,9,16,1,1.85
68.8,54.05,150,6.0,6.1,53.1,99.1,9,16,1,1.85
69.1,53.45,151,6.0,6.1,52.5,99.1,9,16,1,1.85
69.5,52.8,152,5.9,6.1,51.8,99.1,9,16,1,1.85
84.3,99.4,153,11.1,6.1,98.4,99.1,9,16,1,1.85
84.7,98.8,154,11.1,6.1,97.8,99.1,9,16,1,1.85
85,98.2,155,10.9,6.1,97.2,99.1,9,16,1,1.85
85.4,97.55,156,11.0,6.1,96.6,99.1,9,16,1,1.85
85.8,96.95,157,10.8,6.1,96.0,99.1,9,16,1,1.85
86.1,96.3,158,11.0,6.2,95.3,99.1,9,16,1,1.85
86.5,95.7,159,10.9,6.2,94.7,99.1,9,16,1,1.85
86.9,95.05,160,10.7,6.1,94.0,99.1,9,16,1,1.85
87.2,94.44,161,10.5,6.1,93.4,99.1,9,16,1,1.85
87.6,93.79,162,10.7,6.2,92.8,99.1,9,16,1,1.85
87.9,93.19,163,10.5,6.1,92.2,99.1,9,16,1,1.85
88.3,92.59,164,10.4,6.1,91.6,99.1,9,16,1,1.85
88.7,91.94,165,10.3,6.1,90.9,99.1,9,16,1,1.85
89,91.34,166,10.4,6.2,90.3,99.1,9,16,1,1.85
89.4,90.74,167,10.1,6.1,89.7,99.1,9,16,1,1.85
89.7,90.09,168,10.1,6.1,89.1,99.1,9,16,1,1.85
90.1,89.49,169,10.1,6.1,88.5,99.1,9,16,1,1.85
90.5,88.84,170,10.0,6.1,87.8,99.1,9,16,1,1.85
90.8,88.24,171,9.9,6.1,87.2,99.1,9,16,1,1.85
91.2,87.64,172,10.0,6.2,86.6,99.1,9,16,1,1.85
91.5,86.99,173,10.0,6.2,86.0,99.1,9,16,1,1.8
91.9,86.34,174,9.7,6.2,85.3,99.1,9,16,1,1.85
92.3,85.74,175,9.6,6.1,84.7,99.1,9,16,1,1.85
92.6,85.14,176,9.6,6.1,84.1,99.1,9,16,1,1.85
93,84.48,177,9.4,6.1,83.5,99.1,9,16,1,1.85
93.3,83.88,178,9.4,6.1,82.9,99.1,9,16,1,1.85
93.7,83.23,179,9.2,6.0,82.2,99.1,9,16,1,1.85
94.1,82.63,180,9.3,6.1,81.6,99.1,9,16,1,1.85
94.4,82.03,181,9.1,6.1,81.0,99.1,9,16,1,1.85
94.8,81.38,182,9.1,6.1,80.4,99.1,9,16,1,1.85
95.1,80.78,183,9.1,6.1,79.8,99.1,9,16,1,1.85
95.5,80.13,184,9.0,6.1,79.1,99.1,9,16,1,1.85
95.9,79.53,185,8.9,6.1,78.5,99.1,9,16,1,1.85
96.2,78.93,186,8.8,6.1,77.9,99.1,9,16,1,1.85
96.9,77.63,188,8.6,6.1,76.6,99.1,9,16,1,1.85
97.3,77.03,189,8.6,6.1,76.0,99.1,9,16,1,1.85
97.7,76.43,190,8.5,6.1,75.4,99.1,9,16,1,1.85
98,75.78,191,8.5,6.1,74.8,99.1,9,16,1,1.85
98.4,75.18,192,8.3,6.1,74.2,99.1,9,16,1,1.85
98.8,74.52,193,8.3,6.1,73.5,99.1,9,16,1,1.85
99.1,73.92,194,8.3,6.1,72.9,99.1,9,16,1,1.85
99.5,73.27,195,8.1,6.1,72.3,99.1,9,16,1,1.85
99.8,72.67,196,8.2,6.2,71.7,99.1,9,16,1,1.85
100.2,72.07,197,8.1,6.1,71.1,99.1,9,16,1,1.85
100.5,71.42,198,8.0,6.1,70.4,99.1,9,16,1,1.85
100.9,70.82,199,7.9,6.1,69.8,99.1,9,16,1,1.85
101.3,70.22,200,7.9,6.1,69.2,99.1,9,16,1,1.85
101.6,69.57,201,7.8,6.1,68.6,99.1,9,16,1,1.85
102,68.97,202,7.6,6.1,68.0,99.1,9,16,1,1.85
102.3,68.32,203,7.7,6.1,67.3,99.1,9,16,1,1.85
102.7,67.72,204,7.6,6.1,66.7,99.1,9,16,1,1.85
103.1,67.07,205,7.5,6.1,66.1,99.1,9,16,1,1.85
103.4,66.47,206,7.4,6.1,65.5,99.1,9,16,1,1.85
103.8,65.82,207,7.5,6.3,64.8,99.1,9,16,1,1.8
104.5,64.56,209,7.2,6.1,63.6,99.1,9,16,1,1.85
104.9,63.96,210,7.2,6.1,63.0,99.1,9,16,1,1.85
105.2,63.31,211,7.1,6.1,62.3,99.1,9,16,1,1.85
105.6,62.71,212,7.1,6.2,61.7,99.1,9,16,1,1.85
106,62.11,213,6.9,6.1,61.1,99.1,9,16,1,1.85
106.3,61.46,214,6.9,6.1,60.5,99.1,9,16,1,1.85
106.7,60.86,215,6.8,6.1,59.9,99.1,9,16,1,1.85
107,60.21,216,6.7,6.1,59.2,99.1,9,16,1,1.85
107.4,59.61,217,6.6,6.1,58.6,99.1,9,16,1,1.85
107.8,58.96,218,6.6,6.2,58.0,99.1,9,16,1,1.85
108.1,58.36,219,6.5,6.1,57.4,99.1,9,16,1,1.85
108.9,57.06,221,6.4,6.1,56.1,99.1,9,16,1,1.85
109.2,56.46,222,6.3,6.2,55.5,99.1,9,16,1,1.85
109.6,55.81,223,6.2,6.1,54.8,99.1,9,16,1,1.85
110,55.21,224,6.2,6.2,54.2,99.1,9,16,1,1.85
110.3,54.6,225,6.0,6.1,53.6,99.1,9,16,1,1.85
110.7,53.9,226,6.2,6.3,53.0,99.1,9,16,1,1.8
111.4,52.65,228,5.9,6.1,51.7,99.1,9,16,1,1.85
126.3,99.45,229,11.2,6.1,98.5,99.1,9,16,1,1.85
126.6,98.8,230,11.1,6.1,97.8,99.1,9,16,1,1.85
127,98.2,231,11.1,6.1,97.2,99.1,9,16,1,1.85
127.4,97.55,232,10.9,6.1,96.6,99.1,9,16,1,1.85
127.7,96.95,233,10.9,6.1,96.0,99.1,9,16,1,1.85
128.1,96.35,234,10.8,6.2,95.4,99.1,9,16,1,1.85
128.4,95.7,235,10.6,6.1,94.7,99.1,9,16,1,1.85
128.8,95.1,236,10.7,6.2,94.1,99.1,9,16,1,1.85
129.2,94.44,237,10.9,6.2,93.4,99.1,9,16,1,1.8
129.5,93.84,238,10.4,6.1,92.8,99.1,9,16,1,1.85
129.9,93.19,239,10.4,6.1,92.2,99.1,9,16,1,1.85
130.3,92.59,240,10.4,6.1,91.6,99.1,9,16,1,1.85
130.6,91.94,241,10.2,6.1,90.9,99.1,9,16,1,1.85
131,91.34,242,10.3,6.1,90.3,99.1,9,16,1,1.85
131.3,90.74,243,10.2,6.1,89.7,99.1,9,16,1,1.85
131.7,90.09,244,10.1,6.1,89.1,99.1,9,16,1,1.85
132.1,89.49,245,10.1,6.1,88.5,99.1,9,16,1,1.85
132.4,88.89,246,10.0,6.1,87.9,99.1,9,16,1,1.85
132.8,88.24,247,9.9,6.1,87.2,99.1,9,16,1,1.85
133.1,87.64,248,9.7,6.1,86.6,99.1,9,16,1,1.85
133.5,86.99,249,9.8,6.1,86.0,99.1,9,16,1,1.85
133.9,86.39,250,9.7,6.1,85.4,99.1,9,16,1,1.85
134.2,85.74,251,9.6,6.1,84.7,99.1,9,16,1,1.85
134.9,84.48,253,9.4,6.1,83.5,99.1,9,16,1,1.85
135.3,83.88,254,9.4,6.1,82.9,99.1,9,16,1,1.85
135.7,83.23,255,9.3,6.1,82.2,99.1,9,16,1,1.85
136,82.63,256,9.3,6.1,81.6,99.1,9,16,1,1.85
136.4,82.03,257,9.1,6.1,81.0,99.1,9,16,1,1.85
136.7,81.38,258,9.1,6.1,80.4,99.1,9,16,1,1.85
137.1,80.78,259,9.1,6.1,79.8,99.1,9,16,1,1.85
137.5,80.13,260,9.0,6.2,79.1,99.1,9,16,1,1.85
137.8,79.53,261,8.9,6.1,78.5,99.1,9,16,1,1.85
138.2,78.88,262,9.0,6.2,77.9,99.1,9,16,1,1.85
138.5,78.28,263,8.7,6.1,77.3,99.1,9,16,1,1.85
138.9,77.68,264,8.7,6.1,76.7,99.1,9,16,1,1.85
139.3,77.03,265,8.5,6.1,76.0,99.1,9,16,1,1.85
139.6,76.43,266,8.6,6.1,75.4,99.1,9,16,1,1.85
140,75.78,267,8.5,6.1,74.8,99.1,9,16,1,1.85
140.3,75.18,268,8.4,6.1,74.2,99.1,9,16,1,1.85
140.7,74.52,269,8.3,6.1,73.5,99.1,9,16,1,1.85
141.1,73.92,270,8.4,6.2,72.9,99.1,9,16,1,1.85
141.4,73.32,271,8.2,6.1,72.3,99.1,9,16,1,1.85
141.8,72.67,272,8.1,6.1,71.7,99.1,9,16,1,1.85
142.2,72.07,273,8.1,6.1,71.1,99.1,9,16,1,1.85
142.5,71.42,274,8.0,6.2,70.4,99.1,9,16,1,1.85
142.9,70.82,275,7.9,6.1,69.8,99.1,9,16,1,1.85
143.2,70.17,276,7.9,6.1,69.2,99.1,9,16,1,1.85
143.6,69.57,277,7.8,6.1,68.6,99.1,9,16,1,1.85
